Predation Risk,Foraging Success,Threshold,Discriminatory,Modifier,Purple,Blue,Orange,Red,Pop Bust,purple pop max,blue pop max,orange pop max,red pop max,Diversifying,Focusing,Equitable,Inequitable,Total
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,20,9,15,11,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,10,7,10,17,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,11,9,14,12,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,10,12,34,14,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,16,10,8,15,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,13,16,13,11,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,10,23,32,14,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,14,12,8,41,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,10,10,8,9,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,8,10,9,26,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,13,9,10,26,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,14,37,13,9,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,8,16,12,13,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,10,7,12,10,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,12,12,21,37,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,11,12,11,11,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,8,9,25,12,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,13,11,11,16,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,10,10,11,14,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,12,10,10,17,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,140,TRUE,13,13,9,162,0,140,0,140,140
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,16,16,10,13,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,8,9,11,40,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,138,0,TRUE,10,13,163,22,0,138,138,0,138
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,35,12,9,24,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,32,7,11,18,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,15,8,10,11,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,10,15,21,10,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,13,11,16,13,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,131,3,TRUE,11,10,149,104,0,134,131,3,134
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,10,17,9,49,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,12,12,10,11,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,14,15,10,11,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,12,10,10,8,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,12,9,10,16,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,11,11,8,11,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,11,10,18,49,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,10,9,12,17,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,17,24,12,19,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,10,12,10,11,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,9,10,10,18,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,91,46,TRUE,14,8,109,132,0,137,91,46,137
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,14,11,14,13,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,10,9,25,18,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,10,10,11,13,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,22,10,7,20,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,12,25,10,12,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,134,TRUE,13,15,12,157,0,134,0,134,134
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,10,11,13,13,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,13,10,23,13,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,13,11,12,11,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,13,12,12,11,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,141,0,TRUE,11,12,154,73,0,141,141,0,141
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,11,9,10,13,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,9,7,10,12,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,10,13,9,20,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,132,TRUE,12,10,28,154,0,132,0,132,132
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,13,12,14,18,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,141,0,TRUE,10,17,157,17,0,141,141,0,141
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,10,16,14,19,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,12,11,21,13,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,10,10,13,13,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,12,9,30,15,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,13,17,14,27,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,10,13,31,11,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,11,9,16,18,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,12,11,8,9,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,13,12,8,15,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,12,12,10,17,0,0,0,0,0
